Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
12/9/2009,Assam,Guwahati,Santipur,Residential and others,7.3,17.8,249,411
12/10/2009,Assam,Guwahati,Santipur,Residential and others,11.8,23,146,219
12/11/2009,Assam,Guwahati,Santipur,Residential and others,9.3,15.8,168,281
14/12/2009,Assam,Guwahati,Santipur,Residential and others,6.8,17,177,246
15/12/2009,Assam,Guwahati,Santipur,Residential and others,7.5,16,182,262
16/12/2009,Assam,Guwahati,Santipur,Residential and others,8.3,13.3,189,244
17/12/2009,Assam,Guwahati,Santipur,Residential and others,8,19.5,236,292
18/12/2009,Assam,Guwahati,Santipur,Residential and others,6.3,16.5,154,254
19/12/2009,Assam,Guwahati,Santipur,Residential and others,9,20.8,175,266
1/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,8.8,16.8,60,93
1/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,6.3,9.4,91,140
1/8/2009,Assam,Hailakandi,CISF Campus,Residential and others,6,12.5,210,300
1/10/2009,Assam,Hailakandi,CISF Campus,Residential and others,10,13,285,530
15/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,6.3,12.8,209,285
17/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,5,11.8,128,247
22/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,7,14,62,105
24/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,7,12.3,64,109
29/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,11.5,13.5,56,105
31/1/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.5,13,61,113
2/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.5,12.8,56,101
2/7/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.5,12.5,51,98
2/12/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.3,12.8,71,132
14/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,4.8,15,85,160
19/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.5,12.8,59,99
21/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,4.8,10.8,58,101
26/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,4.8,7.3,104,188
28/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,4,5.9,114,186
3/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.3,13,74,129
3/7/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.3,13.3,71,131
3/12/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.8,14.8,70,127
14/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,6,11.3,87,139
19/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,9,12.3,179,214
21/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,6,14,127,168
26/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,6,15.3,74,122
28/3/2009,Assam,Hailakandi,CISF Campus,Residential and others,7.8,14.5,72,158
4/2/2009,Assam,Hailakandi,CISF Campus,Residential and others,5.8,16.3,207,383
4/4/2009,Assam,Hailakandi,CISF Campus,Residential and others,7.3,14.8,35,58
4/9/2009,Assam,Hailakandi,CISF Campus,Residential and others,5,17,39,83
4/11/2009,Assam,Hailakandi,CISF Campus,Residential and others,7.5,14.3,54,87
13/4/2009,Assam,Hailakandi,CISF Campus,Residential and others,4.5,9.6,44,65
13/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,3.5,13,36,84
15/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,3.8,10.1,59,117
18/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,3.8,11.3,34,69
21/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,3,11.5,52,99
25/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,5,17.8,50,105
29/5/2009,Assam,Hailakandi,CISF Campus,Residential and others,4,15.5,68,119
1/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.8,12,101,129
1/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,7.8,14.5,73,136
1/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,7.3,13.8,138,199
1/12/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,14.3,184,252
16/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.5,14.3,169,259
19/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,14.3,165,246
22/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,9.3,16,148,223
27/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,10,15,136,202
30/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6,12.5,111,175
2/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,13,149,238
2/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,8,15.8,157,212
2/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.8,17.5,170,231
13/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6,8.3,134,238
17/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,11.5,131,196
20/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,13.5,187,263
24/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6,12.8,46,71
27/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.5,11.8,46,82
3/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.3,13.5,110,195
3/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,14.8,89,120
3/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,7.5,21,109,176
13/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,14,158,312
17/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,13.8,205,261
20/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,10.5,132,208
24/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5,17.5,131,244
27/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,15.5,84,221
31/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.3,11.5,48,120
4/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.8,14.5,73,234
4/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.8,14,55,173
4/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,17.5,150,276
14/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.5,12,123,172
17/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3,14.3,90,145
21/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,2.5,12.3,110,190
24/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.8,12.3,105,161
28/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6,17.3,155,206
5/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.5,16,70,89
5/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,13.5,67,113
5/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,14.8,52,107
5/12/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,13.3,78,139
15/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,15.3,130,220
19/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.5,10.1,65,139
22/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4,12.8,131,197
26/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.5,12.5,52,97
29/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.8,15,98,131
6/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,15.8,81,148
6/5/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3,13.3,69,138
6/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,2.5,7,79,226
6/12/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,12.5,114,230
16/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.3,12,53,96
19/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,NA,12.3,76,151
23/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,NA,10,72,155
26/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,2.5,7.8,45,75
30/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,12.8,60,153
7/3/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.8,8.9,54,127
7/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.8,11,34,73
7/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4,10.6,58,92
14/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,2.8,7.6,45,95
17/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.3,NA,64,118
21/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,15.3,56,139
24/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.8,15.8,65,105
8/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5,11.8,34,52
8/7/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,11.3,47,91
8/11/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4,13.5,33,66
14/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.8,14,39,60
18/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.5,13.5,39,78
21/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5,13.8,39,78
24/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.8,15.8,41,53
28/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,11.5,49,63
9/1/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4,14,85,95
9/4/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.3,12,78,83
9/8/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,6.3,14.5,33,56
9/11/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.3,13.5,58,67
15/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,14.5,50,69
18/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.8,14.3,35,58
22/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5.3,12.5,36,65
25/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3,10.1,87,123
29/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.5,10,66,123
10/2/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,9.6,25,82
10/6/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,10.9,24,45
10/9/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,5,9.8,87,117
13/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.3,10.5,102,136
16/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,2.5,8.1,125,213
20/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3,11,162,216
23/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.5,11.3,76,105
27/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,3.5,11,88,150
30/10/2009,Assam,Sibsagar,Sibasagar Off. Bldg,Residential and others,4.3,11.3,91,124
22/1/2009,Assam,Silchar,Office Building RLO,Residential and others,7,14,62,105
24/1/2009,Assam,Silchar,Office Building RLO,Residential and others,7,12.3,64,109
29/1/2009,Assam,Silchar,Office Building RLO,Residential and others,11.5,13.5,56,105
31/1/2009,Assam,Silchar,Office Building RLO,Residential and others,5.5,13,61,113
2/5/2009,Assam,Silchar,Office Building RLO,Residential and others,5.5,12.8,56,101
2/7/2009,Assam,Silchar,Office Building RLO,Residential and others,5.5,12.5,51,98
2/12/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,12.8,71,132
14/2/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,15,85,160
19/2/2009,Assam,Silchar,Office Building RLO,Residential and others,5.5,12.8,59,99
21/2/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,10.8,58,101
26/2/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,7.3,104,188
28/2/2009,Assam,Silchar,Office Building RLO,Residential and others,4,5.9,114,186
3/5/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,13,74,129
3/7/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,13.3,71,131
3/12/2009,Assam,Silchar,Office Building RLO,Residential and others,5.8,14.8,70,127
14/3/2009,Assam,Silchar,Office Building RLO,Residential and others,6,11.3,87,139
19/3/2009,Assam,Silchar,Office Building RLO,Residential and others,9,12.3,179,214
21/3/2009,Assam,Silchar,Office Building RLO,Residential and others,6,14,127,168
26/3/2009,Assam,Silchar,Office Building RLO,Residential and others,6,15.3,74,122
28/3/2009,Assam,Silchar,Office Building RLO,Residential and others,7.8,14.5,72,158
4/2/2009,Assam,Silchar,Office Building RLO,Residential and others,5.8,16.3,207,383
4/4/2009,Assam,Silchar,Office Building RLO,Residential and others,7.3,14.8,35,58
4/9/2009,Assam,Silchar,Office Building RLO,Residential and others,5,17,39,83
4/11/2009,Assam,Silchar,Office Building RLO,Residential and others,7.5,14.3,54,87
13/4/2009,Assam,Silchar,Office Building RLO,Residential and others,4.5,9.6,37,65
13/5/2009,Assam,Silchar,Office Building RLO,Residential and others,3.5,13,36,84
15/5/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,10.1,59,117
18/5/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,11.3,34,69
21/5/2009,Assam,Silchar,Office Building RLO,Residential and others,3,11.5,52,99
25/5/2009,Assam,Silchar,Office Building RLO,Residential and others,5,17.8,50,105
29/5/2009,Assam,Silchar,Office Building RLO,Residential and others,4,15.5,68,119
6/4/2009,Assam,Silchar,Office Building RLO,Residential and others,6,17,58,79
6/6/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,12.8,41,64
6/10/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,11,68,97
6/12/2009,Assam,Silchar,Office Building RLO,Residential and others,6.3,17.3,41,75
18/6/2009,Assam,Silchar,Office Building RLO,Residential and others,6,19.5,73,110
20/6/2009,Assam,Silchar,Office Building RLO,Residential and others,6.3,19.8,35,71
24/6/2009,Assam,Silchar,Office Building RLO,Residential and others,7.8,19.8,38,65
26/6/2009,Assam,Silchar,Office Building RLO,Residential and others,6.5,19.3,34,64
7/2/2009,Assam,Silchar,Office Building RLO,Residential and others,7.8,17.3,26,48
7/4/2009,Assam,Silchar,Office Building RLO,Residential and others,2.8,11.3,30,64
7/9/2009,Assam,Silchar,Office Building RLO,Residential and others,5.8,18.5,40,83
7/11/2009,Assam,Silchar,Office Building RLO,Residential and others,5,14.5,32,60
16/7/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,15.5,55,83
18/7/2009,Assam,Silchar,Office Building RLO,Residential and others,4.3,16.3,37,55
23/7/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,14,44,59
25/7/2009,Assam,Silchar,Office Building RLO,Residential and others,6,15,37,48
29/7/2009,Assam,Silchar,Office Building RLO,Residential and others,4,15.5,46,62
8/5/2009,Assam,Silchar,Office Building RLO,Residential and others,7,16,53,74
8/7/2009,Assam,Silchar,Office Building RLO,Residential and others,6.8,16.3,31,45
8/12/2009,Assam,Silchar,Office Building RLO,Residential and others,5,15.5,53,61
14/8/2009,Assam,Silchar,Office Building RLO,Residential and others,6.5,15.8,57,67
20/8/2009,Assam,Silchar,Office Building RLO,Residential and others,6.5,17.5,34,56
22/8/2009,Assam,Silchar,Office Building RLO,Residential and others,5.8,16.5,42,59
27/8/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,11.9,31,46
29/8/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,12.3,64,93
9/3/2009,Assam,Silchar,Office Building RLO,Residential and others,4,16.3,27,71
9/5/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,15.8,41,70
9/10/2009,Assam,Silchar,Office Building RLO,Residential and others,4.3,12.1,62,93
9/12/2009,Assam,Silchar,Office Building RLO,Residential and others,3.8,13.3,39,60
14/9/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,13.3,48,64
16/9/2009,Assam,Silchar,Office Building RLO,Residential and others,4.8,13,31,53
24/9/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,15,22,64
26/9/2009,Assam,Silchar,Office Building RLO,Residential and others,5.8,17.5,49,86
28/9/2009,Assam,Silchar,Office Building RLO,Residential and others,5.3,13,53,105
10/1/2009,Assam,Silchar,Office Building RLO,Residential and others,5,12.3,54,107
10/5/2009,Assam,Silchar,Office Building RLO,Residential and others,5,13.5,99,165
10/8/2009,Assam,Silchar,Office Building RLO,Residential and others,4,13.3,66,118
10/10/2009,Assam,Silchar,Office Building RLO,Residential and others,5,15.3,73,148
16/10/2009,Assam,Silchar,Office Building RLO,Residential and others,6.5,15.8,45,132
17/10/2009,Assam,Silchar,Office Building RLO,Residential and others,6.5,15.5,61,107
21/10/2009,Assam,Silchar,Office Building RLO,Residential and others,7.8,19.5,51,79
24/10/2009,Assam,Silchar,Office Building RLO,Residential and others,8.5,19.5,41,76
27/10/2009,Assam,Silchar,Office Building RLO,Residential and others,6.8,17.5,25,48
30/10/2009,Assam,Silchar,Office Building RLO,Residential and others,7,14.3,23,57
1/1/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6,12,108,158
1/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.8,12,95,152
1/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,7.8,11.8,100,173
1/12/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,9.9,87,160
2/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.3,14.8,208,317
2/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,7.8,17.3,177,305
2/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,7.5,15.8,195,292
13/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,8,13.5,203,261
17/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.8,11.3,244,568
20/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.8,13.3,241,500
23/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,11.3,347,1097
26/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,8,16.8,170,808
3/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.8,13.1,249,798
3/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,8.3,12.8,135,477
3/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.8,12.5,223,642
3/12/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.3,12.1,207,597
16/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,10.3,31.3,293,707
19/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.3,13.9,252,655
23/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.8,13.5,108,295
26/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,11.6,223,395
30/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.3,14.3,59,119
4/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,8.5,13.8,69,181
4/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,9.8,14.8,71,173
4/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.8,13.3,64,167
13/4/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,18.3,82,188
17/4/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,7.8,16.3,56,150
20/4/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,15.5,47,131
5/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.8,11,79,173
5/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.3,13.8,39,101
5/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.3,10.4,36,63
5/11/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.3,10.8,47,108
14/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,9.9,44,76
18/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,10.8,46,204
21/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,11.5,56,135
25/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12.5,76,128
28/5/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6,12.5,55,142
6/1/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,12.5,40,80
6/4/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,11.5,63,154
6/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,15.3,64,124
6/12/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.3,14.8,44,126
15/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.8,10.5,45,79
18/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.8,13.8,88,145
25/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,12,42,67
29/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.8,12.8,35,64
7/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12,37,58
7/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.3,13,35,57
7/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,7,15,24,52
13/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,16,41,65
16/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,15,38,65
20/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,12,35,79
23/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,12.3,36,50
27/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,11.3,28,68
30/7/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,11.3,33,43
8/3/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12.3,31,59
8/6/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,11.3,52,70
8/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.3,12.5,28,63
14/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,12.8,35,48
20/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,12,23,61
24/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,10.8,29,116
27/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.8,13,28,65
31/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12.3,52,82
9/1/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,13,49,68
9/2/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,11.5,21,46
9/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12,46,75
9/11/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,12,16,32
14/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6,14.5,40,57
15/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,11.3,46,70
24/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.3,10.1,24,41
25/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.3,11.3,32,48
26/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.3,11.8,43,76
27/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.5,11.3,41,85
28/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4,12,75,126
30/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6.5,15,60,99
10/8/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,6,13.5,38,55
10/9/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.8,14.5,21,48
10/12/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.5,11.8,58,93
13/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5.8,13.8,56,125
17/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,4.3,10.1,74,127
18/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,5,13.3,67,98
22/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.5,13.8,76,225
23/10/2009,Assam,Tezpur,Tezpur Office Bldg,Residential and others,3.8,10.8,79,213
